hfhudcode,id,cfname,updateddate,addeddate,reportdate,gown,gloves,head_cover,goggles,coverall,shoe_cover,face_shield,surgmask,n95mask,region,region_psgc,province,province_psgc,city_mun,city_mun_psgc,north_coord,east_coord
DOH000000000000001,2296,PIDDIG DISTRICT HOSPITAL,2020-05-01 8:47:16,2020-05-01 8:47:16,2020-05-01,30,500,20,5,45,20,50,570,3,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PIDDIG,PH012818000,18.165902,120.717648
DOH000000000000001,256,PIDDIG DISTRICT HOSPITAL,2020-04-17 13:25:57,2020-04-17 13:25:57,2020-04-17,30,500,30,5,30,30,1,0,3,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PIDDIG,PH012818000,18.165902,120.717648
DOH000000000000001,3670,PIDDIG DISTRICT HOSPITAL,2020-05-08 8:08:53,2020-05-08 8:08:53,2020-05-08,25,500,15,5,45,15,50,2440,3,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PIDDIG,PH012818000,18.165902,120.717648
DOH000000000000001,5257,PIDDIG DISTRICT HOSPITAL,2020-05-15 8:04:36,2020-05-15 8:04:36,2020-05-15,20,300,10,5,45,10,38,2310,3,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PIDDIG,PH012818000,18.165902,120.717648
DOH000000000000001,6975,PIDDIG DISTRICT HOSPITAL,2020-05-22 8:19:10,2020-05-22 8:19:10,2020-05-22,15,200,5,5,45,5,38,2175,3,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PIDDIG,PH012818000,18.165902,120.717648
DOH000000000000001,783,PIDDIG DISTRICT HOSPITAL,2020-04-24 8:11:36,2020-04-24 8:11:36,2020-04-24,35,600,30,5,35,30,50,700,3,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,PIDDIG,PH012818000,18.165902,120.717648
DOH000000000000002,7458,CEBU CITY MEDICAL CENTER,2020-05-22 11:17:15,2020-05-22 11:17:15,2020-05-22,0,5400,0,205,380,530,2299,1450,290,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,CEBU CITY (Capital),PH072217000,10.2978652,123.8927816
DOH000000000000003,2990,"DON LEOVIGILDO N. DIAPO, SR. MUNICIPAL HOSPITAL",2020-05-01 15:09:59,2020-05-01 15:09:59,2020-05-01,6,250,16,6,33,6,90,450,15,REGION VI (WESTERN VISAYAS),PH060000000,AKLAN,PH060400000,MADALAG,PH060410000,11.523766,122.304431
DOH000000000000003,4476,"DON LEOVIGILDO N. DIAPO, SR. MUNICIPAL HOSPITAL",2020-05-08 14:21:28,2020-05-08 14:21:28,2020-05-08,66,250,16,66,93,126,135,750,65,REGION VI (WESTERN VISAYAS),PH060000000,AKLAN,PH060400000,MADALAG,PH060410000,11.523766,122.304431
DOH000000000000003,6382,"DON LEOVIGILDO N. DIAPO, SR. MUNICIPAL HOSPITAL",2020-05-15 16:47:19,2020-05-15 16:47:19,2020-05-15,66,200,14,66,93,126,135,650,60,REGION VI (WESTERN VISAYAS),PH060000000,AKLAN,PH060400000,MADALAG,PH060410000,11.523766,122.304431
